1일 1로그 100일 완성 IT 지식,2021년,"['컴퓨터/IT', '자기계발', '취업/수험서']","['파이썬', '인공지능', '데이터', '프로세서', '통신', '자바 스크립트']"
"로봇 시대, 인간의 일",2020년,"['인문', '정치/사회']","['무인 자동차', '미래전망', '입찰가', '디지털리터러시', '낙찰', '앤디 워홀']"
모두 거짓말을 한다,2022년,"['경제/경영', '컴퓨터/IT']",[]
디지털독해가 문해력이다 4단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
인스타 브레인,2020년,"['인문', '과학']","['인문교양서', '뇌과학', '건강서', '수렵 채집', '안전 수칙', '운동']"
웹3.0 넥스트 이코노미,2022년,['경제/경영'],[]
디지털 헬스케어 전쟁,2021년,['기술/공학'],"['전쟁', '원장', '과학 기술', '요양 병원', '격상', '카네이션']"
달러는 왜 비트코인을 싫어하는가,2018년,['경제/경영'],"['비잔티움', '건전', '디지털화폐', '운영 방식', '중앙은행', '금융 위기']"
디지털 대전환 시대의 전략경영 혁신,2022년,['경제/경영'],"['경영 전략', '비즈니스', '전략 수립', '플랫폼', '디지털 기술', '혁신']"
B2B 마케팅으로 밥 먹고 살기,2022년,"['컴퓨터/IT', '경제/경영', '경제/경영']",[]
의대에 가고 싶어졌습니다,2022년,"['청소년', '자기계발', '중/고등참고서', '청소년']","['의사', '본과', '학생 부종 합전', '악명', '선배', '대학 병원']"
다이나믹 드로잉,2019년,['예술/대중문화'],"['일러스트', '스케치']"
디지털독해가 문해력이다 3단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
Digital Entrepreneurship,2022년,['경제/경영'],[]
온라인의 우리 아이들,2022년,"['인문', '정치/사회']",[]
친절한 컬러링,2017년,"['예술/대중문화', '예술/대중문화']","['채색', '포토샵', '골렘', '튜토리얼', '원리 이해', '페인팅']"
디지털독해가 문해력이다 7단계,2022년,"['중/고등참고서', '중/고등참고서']","['인성', '학습 효과', '중학', '성취 기준', '단계', '확인 문제']"
공간 드로잉: 투시편,2019년,"['예술/대중문화', '만화']","['컬러링', '채색', '일러스트', '광각', '드로잉', '소실점']"
"디지털, 잠시 멈춤",2021년,['자기계발'],"['디스', '스마트폰 사용', '실리콘밸리', '게이츠', '디지털 기기', '스마트 기기']"
로봇은 교사를 대체할 것인가?,2022년,['인문'],"['인공지능', '미래 교육', '자동', '윤리', '교육용', '딜레마']"
나의 빛을 가리지 말라,2022년,"['정치/사회', '인문']",[]
"사냥꾼, 목동, 비평가",2020년,['인문'],"['유토피아', '교양철학', '디지털 경제', '의지', '디지털 사회', '숙명론']"
"다시, 책으로",2019년,['인문'],"['디지털 세계', '독서가', '디지털 매체', '책읽기', '디지털 기기', '접속']"
DX 코드,2020년,"['경제/경영', '경제/경영']","['넷플릭스', '경영혁신', '디즈니', '디지털트랜스포메이션', '스트리밍', '포메이션']"
패션 아이템 도감,2020년,"['예술/대중문화', '예술/대중문화']","['패션', '도감', '이미지', '검색', '매치', '전문 용어']"
디지털 일러스트 캐릭터 채색 최강 사전,2022년,"['예술/대중문화', '만화']",[]
"십 대, 인권의 주인공이 되다!",2020년,"['청소년', '정치/사회', '정치/사회']","['다문화', '청소년', '이슈', '난민', '침해', '가치']"
최재붕의 메타버스 이야기,2022년,['경제/경영'],"['신대륙', '일자리', '메타 버스', 'NFT', '공학자', '스마트팩토리']"
메타버스와 돈의 미래,2022년,"['경제/경영', '정치/사회', '컴퓨터/IT']",[]
구글 광고 하는 여자,2022년,"['컴퓨터/IT', '경제/경영', '경제/경영']","['광고주', '타깃', '인터넷마케팅', '유튜브', '잠재 고객', '디스커버리']"
코드 한 줄 없이 시작하는 MicroSoft RPA 파워 오토메이트,2022년,['컴퓨터/IT'],"['파이썬', '정규 표현식', '아웃룩', '데스크톱', '자동', '파일 관리']"
UX/UI의 10가지 심리학 법칙,2020년,"['컴퓨터/IT', '컴퓨터/IT', '컴퓨터/IT', '컴퓨터/IT', '대학교재']","['디자이너', '피츠', '경험', '제이콥', '디자인', '토프']"
생각하지 않는 사람들(10주년),2020년,['경제/경영'],"['증보판', '알고리즘', '사고 능력', '디지털시대', '경영 컨설턴트', '디지털경제']"
10억이 열린다,2022년,"['경제/경영', '경제/경영']","['투자자', '핀테크', '커머스', '투자 결정', '코스피', '모터스']"
디지털 권리장전,2022년,['경제/경영'],"['인공지능', '블록체인', '법인격', '플랫폼', '디지털전환', '암호 화폐']"
필립 코틀러 마켓 5.0,2021년,"['경제/경영', '경제/경영']","['마케팅전략', '고객', '애자일', '경제전망', '기업', '비즈니스']"
디지털 미니멀리즘,2019년,['자기계발'],"['철학', '실천 지침', '디지털시대', '베넷', '여가', '소셜']"
디지털독해가 문해력이다 6단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '중학', '성취 기준', '단계', '확인 문제']"
인공지능과 4차 산업혁명의 미래,2018년,"['청소년', '인문', '기술/공학', '과학', '청소년']","['인공지능 시대', '인공지능 기술', '로봇', '컴퓨터 과학', '인터페이스', '일자리']"
세계미래보고서 2023(메가 크라이시스 이후 새로운 부의 기회),2022년,['경제/경영'],"['모빌리티', '경제전망', '메타 버스', '탈중앙화', '테크', '자율주행차']"
돈이 되는 글쓰기의 모든 것,2020년,"['자기계발', '인문']","['성공', '글쓰기 수업', '지식', '글쓰기 능력', '유튜브', '하우스']"
간헐적 몰입,2022년,['자기계발'],"['간헐', '코로나19', '몰입', '에너지관리', '이본', '애덤스']"
나의 어여쁜 자야,2020년,['종교'],"['성별', '크리스천', '양육자', '하나님', '남녀', '차세대']"
Interchange SB 1 (with Digital Pack),2021년,['ELT/수험서'],[]
문해력 유치원,2022년,"['가정/육아', '가정/육아', '어린이(초등)']","['그림책', '독후 활동', '리터', '자모', '디지털미디어', '이름']"
친절한 드로잉,2017년,['예술/대중문화'],"['포토샵', '튜토리얼', '입문서', '하체', '상체', '다이나믹']"
오늘도 개발자가 안 된다고 말했다,2021년,['컴퓨터/IT'],"['디자이너', '브라우징', '설계서', '비전공자', '웹 개발자', '웹 표준']"
암호화폐 넥스트 시나리오,2022년,['경제/경영'],"['세계경제', '금융 시스템', '투자자', '비트코인', '투자 상품', '메타버스']"
구글 애드센스로 돈 벌기(2021),2021년,"['경제/경영', '경제/경영']","['창출', '디지털노마드', '디지털', '마드', '기능 설명', '콘텐츠']"
디지털 트랜스포메이션,2020년,['경제/경영'],"['사이클', '인공지능', '4차산업혁명', '저자 직강 동영상 강의', '코로나', '디지털전환']"
친절한 빛과 색,2021년,['예술/대중문화'],"['예약', '튜토리얼', '밸류', '구매', '광원', '조도']"
ZZIN 디지털 노마드 창업,2021년,['경제/경영'],"['창업', '인 기업', '스타트업', '프리랜서', '근로 소득', '파이프라인']"
다빈치 리졸브 마스터하기,2021년,"['컴퓨터/IT', '컴퓨터/IT', '대학교재']","['인스펙터', '유튜브', '프록시', '입문서', '타임 라인', '영상편집']"
그건 부당합니다,2022년,['인문'],[]
Digital SAT Math for 800,2022년,['외국어'],[]
웹소설 일러스트 작법서,2022년,"['예술/대중문화', '컴퓨터/IT', '만화']","['브러시', '튜토리얼', '완성작', '일러스트레이터', '일러스트레이션', '능소화']"
디지털 폭식 사회,2022년,['정치/사회'],[]
로블록스 게임 제작 점프맵 만들기,2022년,"['컴퓨터/IT', '컴퓨터/IT', '대학교재']","['파이썬', '스튜디오', '파트', '반 복문', '스크립트', '블록스']"
알파세대가 학교에 온다,2021년,['인문'],"['미래 교육', '변화', '디지털 시대', '디지털 기기', '온라인수업', '실재감']"
디지털금융 기초 법률 상식,2022년,"['경제/경영', '경제/경영', '정치/사회', '대학교재']","['법률', '빅데이터', '거래법', '개인정보', '멤버십', '체크 리스트']"
디지털 미디어 리터러시,2020년,['정치/사회'],"['종합', '변화', '게임', '향상', '소통', '정의']"
기초부터 하나씩 아이패드 캘리그라피,2022년,"['컴퓨터/IT', '예술/대중문화']","['브러시', '레이어', '글씨 연습', '애니메이션 효과', '리핑 마스크', '예제 파일']"
디지털트랜스포메이션 시대의 디지털마케팅 커뮤니케이션 전략,2022년,"['경제/경영', '경제/경영']","['인공지능', '경영전략', '마케팅전략', '머신 러닝', '커뮤니케이션', '트리플']"
미디어의 이해,2019년,['정치/사회'],"['정치', '성경', '디지털시대', '오늘', '정보혁명', '서문']"
1일 1로그 100일 완성 IT 지식,2021년,"['컴퓨터/IT', '자기계발', '취업/수험서']","['파이썬', '인공지능', '데이터', '프로세서', '통신', '자바 스크립트']"
"로봇 시대, 인간의 일",2020년,"['인문', '정치/사회']","['무인 자동차', '미래전망', '입찰가', '디지털리터러시', '낙찰', '앤디 워홀']"
메타버스,2020년,"['경제/경영', '정치/사회']","['디지털 미디어', '경제전망', '합성어', '인류', '미래', '현실 세계']"
모두 거짓말을 한다,2022년,"['경제/경영', '컴퓨터/IT']",[]
디지털독해가 문해력이다 4단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
인스타 브레인,2020년,"['인문', '과학']","['인문교양서', '뇌과학', '건강서', '수렵 채집', '안전 수칙', '운동']"
세금의 세계사,2022년,"['역사/문화', '경제/경영', '역사/문화']","['중국', '메소포타미아', '금융', '남북 전쟁', '고대', '나폴레옹']"
데이터 드리븐 고객 경험,2022년,"['경제/경영', '경제/경영']",[]
웹3.0 넥스트 이코노미,2022년,['경제/경영'],[]
디지털 헬스케어 전쟁,2021년,['기술/공학'],"['전쟁', '원장', '과학 기술', '요양 병원', '격상', '카네이션']"
웹3.0과 메타버스가 만드는 디지털 혁명,2022년,"['경제/경영', '정치/사회', '컴퓨터/IT']",[]
대만의 디지털 민주주의와 오드리 탕,2021년,['정치/사회'],"['기술', '정부', '참여', '정책', '중국', '이제']"
달러는 왜 비트코인을 싫어하는가,2018년,['경제/경영'],"['비잔티움', '건전', '디지털화폐', '운영 방식', '중앙은행', '금융 위기']"
구글 애널리틱스 4: 실전 활용법,2022년,"['컴퓨터/IT', '컴퓨터/IT', '대학교재']",[]
디지털 대전환 시대의 전략경영 혁신,2022년,['경제/경영'],"['경영 전략', '비즈니스', '전략 수립', '플랫폼', '디지털 기술', '혁신']"
B2B 마케팅으로 밥 먹고 살기,2022년,"['컴퓨터/IT', '경제/경영', '경제/경영']",[]
"공간, 비즈니스를 바꾸다",2022년,['경제/경영'],"['테일', '재택근무', '주거 공간', '디지털노마드', '오피스', '공간변화']"
하이프 머신,2022년,"['경제/경영', '경제/경영', '컴퓨터/IT']","['기획 재정부', '트렌드', '가짜뉴스', '올해 최고', '해커', '네트워크']"
디지털로 생각하라,2021년,['경제/경영'],"['경영전략', '마케팅', '자영 업자', '예비 창업자', '기술', '경영 환경']"
의대에 가고 싶어졌습니다,2022년,"['청소년', '자기계발', '중/고등참고서', '청소년']","['의사', '본과', '학생 부종 합전', '악명', '선배', '대학 병원']"
디지털포렌식 기술,2020년,"['컴퓨터/IT', '컴퓨터/IT', '대학교재']","['파일 시스템', '인코딩', '데이터베이스 시스템', '페이징', '아웃룩', '임베디드 시스템']"
데이터를 지배하라,2021년,['경제/경영'],"['리스크 관리', '글로벌 금융 위기', '경영 활동', '현재 가치', '기업 환경', '비즈니스 환경']"
다이나믹 드로잉,2019년,['예술/대중문화'],"['일러스트', '스케치']"
디지털독해가 문해력이다 3단계,2022년,"['초등참고서', '초등참고서']","['인성', '학습 효과', '성취 기준', '단계', '확인 문제', '필수 능력']"
Digital Entrepreneurship,2022년,['경제/경영'],[]
오컬트의 상징,2022년,"['예술/대중문화', '인문']","['오컬트', '문양', '점성술', '밀교', '연금술', '흑마']"
온라인의 우리 아이들,2022년,"['인문', '정치/사회']",[]
디지털 비주얼씽킹,2022년,"['컴퓨터/IT', '자기계발']","['채색', '디지털', '배너', '시각화', '캔버스', '세바']"
친절한 컬러링,2017년,"['예술/대중문화', '예술/대중문화']","['채색', '포토샵', '골렘', '튜토리얼', '원리 이해', '페인팅']"
공간은 경험이다,2019년,['경제/경영'],"['브랜드', '마케팅전략', '비즈니스 모델', '밀레 니얼 세대', '문화 공간', '컨셉']"
디지털독해가 문해력이다 7단계,2022년,"['중/고등참고서', '중/고등참고서']","['인성', '학습 효과', '중학', '성취 기준', '단계', '확인 문제']"
4차 산업혁명과 인공지능,2022년,"['청소년', '과학']","['프린터', '빅데이터', '블록체인', '증기 기관', '사물인터넷', '스마트']"
공간 드로잉: 투시편,2019년,"['예술/대중문화', '만화']","['컬러링', '채색', '일러스트', '광각', '드로잉', '소실점']"
"저글러, 땜장이, 놀이꾼, 디지털 세상을 설계하다",2020년,"['과학', '과학']","['앨런 튜링', '프린스턴', '하버', '위너', '여진', '콜드']"
"디지털, 잠시 멈춤",2021년,['자기계발'],"['디스', '스마트폰 사용', '실리콘밸리', '게이츠', '디지털 기기', '스마트 기기']"
로봇은 교사를 대체할 것인가?,2022년,['인문'],"['인공지능', '미래 교육', '자동', '윤리', '교육용', '딜레마']"
